"window_id","train_start","train_end","train_months_count","test_month","lookback","minDrop","TP","SL","train_return_pct","train_win_rate","train_max_dd","train_trades","test_return_pct","test_win_rate","test_max_dd","test_trades","opt_time_secs"
1,"2019-02","2022-12",47,"2023-01",10,7.05,0.5,15.35,5890.72982858142,93.1122448979592,-79.5275139478533,1568,153.138772153998,100,-13.1615748553698,51,323.06668305397
2,"2019-02","2023-01",48,"2023-02",5,9.15,0.45,13.8,2484.15388481643,92.3327895595432,-67.0190827682026,613,6.81852667026646,90.9090909090909,-22.5189641157944,22,237.20111489296
3,"2019-02","2023-02",49,"2023-03",5,9.15,0.45,13.8,2660.35510665337,92.2834645669291,-67.0190827682026,635,13.2554597411741,100,-7.01032704645791,9,200.498087882996
4,"2019-02","2023-03",50,"2023-04",5,10.2,0.4,15.95,3582.37713627189,94.2922374429224,-56.8983334564353,438,2.2920496131117,100,-1.5187365508761,2,232.95479798317
5,"2019-02","2023-04",51,"2023-05",7,10.55,0,15.05,3625.35854880208,93.2971014492754,-58.559691572299,552,-0.0306485812425308,100,-0.592333731581039,1,209.751518011093
6,"2019-02","2023-05",52,"2023-06",5,9.15,0.45,13.8,3176.52147231769,92.4499229583975,-67.0190827682026,649,5.03619872191937,100,-2.85714285714286,4,231.890079021454
7,"2019-02","2023-06",53,"2023-07",7,10.1,0,15.3,3368.88577411748,92.8348909657321,-56.9609887660648,642,0.886562024221457,100,-0.982623269896176,1,194.950949192047
8,"2019-02","2023-07",54,"2023-08",5,10.15,0,15.85,2804.07826063005,93.3760683760684,-61.8023540283538,468,4.1020436027444,100,-0.0750000000000012,3,232.718941926956
9,"2019-02","2023-08",55,"2023-09",5,9.15,0.45,13.8,3535.81208424942,92.5531914893617,-67.0190827682026,658,0,0,0,0,212.118480920792
10,"2019-02","2023-09",56,"2023-10",7,10.55,0.05,15.35,3342.45631147567,94.8028673835125,-66.2024055086482,558,2.67305381134276,50,-0.075000000000006,2,246.423718214035
11,"2019-02","2023-10",57,"2023-11",5,9.15,0.45,13.8,3632.99929774071,92.4242424242424,-67.0190827682026,660,11.2108175379689,100,-6.43589587146635,6,258.957842111588
12,"2019-02","2023-11",58,"2023-12",4,10.45,0.35,15.4,3813.0539092457,94.413407821229,-58.975057332115,358,2.57214856558774,100,-1.17553668097815,2,272.86318397522
13,"2019-02","2023-12",59,"2024-01",5,9.5,0.65,5.85,2514.14022510708,83.2605531295488,-54.6471704115622,687,6.75347033661701,100,-5.74882075471699,2,256.354360103607
14,"2019-02","2024-01",60,"2024-02",7,10.1,0,15.3,4317.65534750741,93.0722891566265,-56.9609887660648,664,10.0428767263157,87.5,-5.15632040707824,8,261.179769992828
15,"2019-02","2024-02",61,"2024-03",4,10,0,15.1,2736.83618467417,92.7906976744186,-62.9382685661639,430,46.7105859471181,100,-3.29323125531656,9,283.45824098587
16,"2019-02","2024-03",62,"2024-04",6,10.55,0,6.9,2422.98810310853,86.6995073891626,-53.762156217604,609,10.8527708019668,87.5,-10.4459907962576,8,271.302086114883
