"window_id","train_start","train_end","train_months_count","test_month","lookback","minDrop","TP","SL","train_return_pct","train_win_rate","train_max_dd","train_trades","test_return_pct","test_win_rate","test_max_dd","test_trades","opt_time_secs"
1,"2020-08","2023-01",30,"2023-02",2,6.35,1.8,8.9,4258.14874175975,81.8777292576419,-57.5973706605453,458,2.23920776093235,100,-0.075,1,267.044122934341
2,"2020-08","2023-02",31,"2023-03",1,4.9,2.3,18.95,15705.0406076371,91.0669975186104,-57.8968957019512,403,8.71610834942683,83.3333333333333,-12.3214285714286,6,274.564568042755
3,"2020-08","2023-03",32,"2023-04",1,5.3,1.7,10.75,2634.47256964217,84.2767295597484,-54.1027902976676,477,3.46501836214802,100,-1.30688715030819,2,266.130190849304
4,"2020-08","2023-04",33,"2023-05",1,4.9,2.15,9.15,3364.81213779376,80.4537521815009,-58.0271537567379,573,2.94123735257985,100,-0.0964320154291156,1,310.647459030151
5,"2020-08","2023-05",34,"2023-06",1,4.9,2.15,9.15,3466.72048658727,80.4878048780488,-58.0271537567379,574,17.7290167731432,100,-5.45454545454547,6,205.765258073807
6,"2020-08","2023-06",35,"2023-07",2,6.25,1.1,6.25,3599.94573100477,81.0858143607706,-51.889407999566,571,-4.0474543612655,66.6666666666667,-7.92391172901922,3,249.899909973145
7,"2020-08","2023-07",36,"2023-08",2,6.25,1.1,6.25,3496.80295356193,81.0104529616725,-51.889407999566,574,-5.32287824487315,50,-6.97726862302482,2,253.714322090149
8,"2020-08","2023-08",37,"2023-09",1,5.3,2.55,11.1,3307.87650246567,81.1279826464208,-54.1027902976676,461,5.02787030226529,100,-5.80957504034425,1,242.6459608078
9,"2020-08","2023-09",38,"2023-10",1,5.3,2.55,11.1,3479.22011307102,81.1688311688312,-54.1027902976676,462,10.9096868499249,100,-7.35124190064794,3,274.410777807236
10,"2020-08","2023-10",39,"2023-11",1,5.3,1.7,10.75,3615.69745379798,84.6464646464647,-54.1027902976676,495,-13.8251588162633,60,-25.8612248984864,5,252.071552991867
11,"2020-08","2023-11",40,"2023-12",1,5.3,1.7,10.75,3101.99637967856,84.4,-54.1027902976676,500,0.960877867632571,83.3333333333333,-12.0388209618406,6,362.780994176865
12,"2020-08","2023-12",41,"2024-01",1,4.9,2.15,9.15,5442.25764735492,80.8896210873147,-58.0271537567379,607,4.62833750990807,85.7142857142857,-15.4691523084215,7,364.838001012802
13,"2020-08","2024-01",42,"2024-02",2,6.25,1.8,6.25,4466.95440367976,77.2887323943662,-53.4386986999009,568,1.68735997972442,100,-3.63908171274092,1,398.535116195679
14,"2020-08","2024-02",43,"2024-03",2,5.95,1.75,8.5,2958.74612863938,81.326352530541,-57.5973706605453,573,-3.66870589362998,80,-14.9071599417195,5,383.605246067047
15,"2020-08","2024-03",44,"2024-04",1,4.7,1.7,9,4850.71776713792,82.3033707865169,-57.8863481435493,712,15.4389901436546,100,-7.77130972855752,6,361.581643819809
16,"2020-08","2024-04",45,"2024-05",8,9.6,1.55,5.9,2840.3989256334,78.7139689578714,-55.3896029202572,451,0,0,0,0,398.189790010452
17,"2020-08","2024-05",46,"2024-06",1,4.9,2.15,9.15,6953.44221574851,81.1802232854864,-58.0271537567379,627,6.88576709666737,100,-0.649947881537799,3,298.372862815857
18,"2020-08","2024-06",47,"2024-07",8,9.5,0.95,5.85,2701.33896834744,81.3492063492064,-55.746213754073,504,0,0,0,0,295.548353910446
19,"2020-08","2024-07",48,"2024-08",1,5,2.55,10.15,6106.26392374299,80.6737588652482,-54.2040809725494,564,-0.229036818024488,80,-16.5252910160207,5,320.622130155563
20,"2020-08","2024-08",49,"2024-09",1,4.9,2.15,9.15,7045.93485267955,81.1616954474097,-58.0271537567379,637,0,0,0,0,269.195214986801
