"window_id","train_start","train_end","train_months_count","test_month","lookback","minDrop","TP","SL","train_return_pct","train_win_rate","train_max_dd","train_trades","test_return_pct","test_win_rate","test_max_dd","test_trades","opt_time_secs"
1,"2020-08","2023-01",30,"2023-02",10,7.5,1.55,16.25,3519.14870212329,92.0940170940171,-52.1568462322845,468,1.62341689380859,100,-0.075,1,321.582154035568
2,"2020-08","2023-02",31,"2023-03",3,6.45,7.55,0.05,2599.48709552931,22.6039783001808,-39.8158580045335,553,-1.15844295460536,0,-5.50301436445169,3,323.512612104416
3,"2020-08","2023-03",32,"2023-04",3,6.45,7.55,0.05,2568.21507746067,22.4820143884892,-39.8158580045335,556,5.92511979908668,33.3333333333333,-5.00414503688076,3,325.78470492363
4,"2020-08","2023-04",33,"2023-05",2,5.1,1,14.1,2506.98401663585,91.9210053859964,-54.4914176877891,557,0.929516317567559,100,-0.075,1,278.920960187912
5,"2020-08","2023-05",34,"2023-06",3,5.45,2.4,16.5,16153.1876996771,89.8924731182796,-57.486604935952,465,4.69598754932593,66.6666666666667,-17.0805572380376,3,335.627108097076
6,"2020-08","2023-06",35,"2023-07",4,4.85,2.7,10.65,25738.1976269846,81.9867549668874,-55.3805852267813,755,21.0959794623452,90.9090909090909,-15.4797492458872,11,353.644649028778
7,"2020-08","2023-07",36,"2023-08",3,6.35,1.85,10.95,3341.96220765198,86.5336658354115,-42.7325805595642,401,8.10982688343982,100,-1.26999059266229,2,345.264351129532
8,"2020-08","2023-08",37,"2023-09",3,6.35,1.85,10.95,3621.09938408598,86.6004962779156,-42.7325805595642,403,1.97568517671943,100,-6.2734584450402,1,347.122261047363
9,"2020-08","2023-09",38,"2023-10",4,5.7,2.5,13.7,15944.6970363808,87.6208897485493,-54.6934325815331,517,9.69963191266181,100,-3.68098159509204,3,424.029258012772
10,"2020-08","2023-10",39,"2023-11",9,7.6,1.8,16.45,4550.95454719469,91.6870415647922,-53.6998539569042,409,21.0231285831537,100,-8.7371772196675,9,426.196446895599
11,"2020-08","2023-11",40,"2023-12",3,6.25,2,10.35,4872.53367801671,85.7466063348416,-43.3200181469538,442,11.9983597738378,100,-1.49480968858133,4,475.187991142273
12,"2020-08","2023-12",41,"2024-01",7,8.3,1.15,13.15,2479.23981386085,91.2466843501326,-51.1588863604425,377,12.9555304612394,100,-0.450081833060573,5,452.925462007523
13,"2020-08","2024-01",42,"2024-02",9,8.05,1.55,10.55,4904.61614006715,87.6050420168067,-54.4413892898579,476,3.04928404452794,100,-0.075,1,466.234894990921
14,"2020-08","2024-02",43,"2024-03",4,5.75,0.35,14.7,5068.81206687218,94.5945945945946,-54.1007740067682,777,11.1282174121293,100,-9.19127220822809,11,448.693884849548
15,"2020-08","2024-03",44,"2024-04",8,7.5,1.4,13.9,4796.22158500073,91.0041841004184,-53.1214788417459,478,-4.98070764538119,83.3333333333333,-18.1100283013754,6,409.425528049469
16,"2020-08","2024-04",45,"2024-05",9,7.45,0.75,13.6,2964.1967189986,92.7302100161551,-52.5285742499,619,0,0,0,0,414.049123048782
17,"2020-08","2024-05",46,"2024-06",4,6.8,0.9,12.9,4612.88175259504,92.274678111588,-50.5637732654073,466,7.06809679625047,100,-0.19208129376044,4,474.0825548172
18,"2020-08","2024-06",47,"2024-07",4,6.55,0.4,13.25,2478.18654659682,93.5251798561151,-50.8125009367812,556,0.423137222812311,100,-0.075,1,430.359313011169
19,"2020-08","2024-07",48,"2024-08",4,6.8,0.9,12.9,4945.99279676129,92.3404255319149,-50.5637732654073,470,-2.15626765308325,80,-14.0656435012673,5,406.588825941086
20,"2020-08","2024-08",49,"2024-09",4,6.55,0.4,13.25,2730.74931786161,93.5943060498221,-50.8125009367812,562,0,0,0,0,491.707271099091
21,"2020-08","2024-09",50,"2024-10",4,6.55,0.4,13.25,2730.74931786161,93.5943060498221,-50.8125009367812,562,0,0,0,0,539.243153095245
22,"2020-08","2024-10",51,"2024-11",4,6.55,0.4,13.25,2730.74931786161,93.5943060498221,-50.8125009367812,562,0,0,0,0,543.900611162186
23,"2020-08","2024-11",52,"2024-12",4,6.8,0.9,12.9,4837.18768630782,92.2105263157895,-50.5637732654073,475,0.795936484870781,100,-6.98046018991964,1,382.962471008301
24,"2020-08","2024-12",53,"2025-01",4,6.55,0.4,13.25,2756.40740155486,93.6170212765958,-50.8125009367812,564,15.2037639834345,100,-4.41973647902871,10,454.403192996979
25,"2020-08","2025-01",54,"2025-02",4,6.55,0.4,13.25,3190.68884129262,93.7282229965157,-50.8125009367812,574,9.30946428499232,100,-0.81541882876207,5,386.336619138718
26,"2020-08","2025-02",55,"2025-03",4,6.55,0.4,13.25,3497.03434370298,93.7823834196891,-50.8125009367812,579,4.6352377827043,88.8888888888889,-14.9101176789273,9,418.20707988739
27,"2020-08","2025-03",56,"2025-04",3,6.8,5.4,0.45,2447.84535807534,31.7757009345794,-35.8713159042922,535,-3.80685981971998,0,-5.49973771856784,3,291.24697804451
28,"2020-08","2025-04",57,"2025-05",1,4.85,2.45,10.95,5391.14154047282,83.3684210526316,-43.574453731619,475,0,0,0,0,332.584748029709
