"window_id","train_months","test_month","lookback","minDrop","TP","SL","train_return_pct","train_win_rate","train_max_dd","train_trades","test_return_pct","test_win_rate","test_max_dd","test_trades","opt_time_secs"
1,"2023-05|2023-06","2023-07",5,3.8,2.1,0.25,-6.61241305621777,33.5282651072125,-34.3965872680347,513,-12.9203461008209,22.5,-17.4792046953541,40,17.4034979343414
2,"2023-06|2023-07","2023-08",7,3.05,0,3.9,71.1310669657436,41.1009174311927,-14.4881329678902,545,1.49554524652975,33.9181286549708,-25.5078274051162,171,18.9212739467621
3,"2023-07|2023-08","2023-09",9,2.6,0,13.6,27.3642673095025,33.2579185520362,-23.0318295864418,442,83.6049424736131,29.4117647058824,-17.6089222910504,255,16.7403688430786
4,"2023-08|2023-09","2023-10",9,0.9,0,8.35,5569.2720023513,26.5659543109801,-39.7606583584714,2714,2315.8012995662,26.5243902439024,-17.2824007657438,1640,14.3274159431458
5,"2023-09|2023-10","2023-11",10,0.3,0,8.85,93334.6643760685,25.9184263812554,-16.3929642148378,3457,60.426380473837,27.8268551236749,-25.9049366037016,1132,20.1270809173584
6,"2023-10|2023-11","2023-12",3,1.05,0,10.1,3311.2738142295,28.1420765027322,-18.6491593947586,2196,19.2362162761147,32.4661810613944,-34.6800876809416,961,17.7083909511566
7,"2023-11|2023-12","2024-01",3,2.15,0,7.55,146.454701442342,41.4634146341463,-18.9719968294179,697,27.7943638445852,42.910447761194,-21.3393514669917,268,14.7894999980927
8,"2023-12|2024-01","2024-02",2,2.5,0.05,0,5.61565771090576,39.3794749403341,-18.9163265802541,419,-45.025933904049,36.0795454545455,-52.3299433744287,352,14.8976361751556
9,"2024-01|2024-02","2024-03",5,1.4,0.35,2.8,236.616118857494,82.5610783487784,-28.5948556054472,1187,-38.6877086158322,78.7962962962963,-68.8838724454299,1080,16.7194628715515
10,"2024-02|2024-03","2024-04",1,2.5,2.95,5.8,820.086681180817,73.0941704035874,-30.8256054732645,223,-48.5320818817012,54.1666666666667,-51.0467840574136,48,26.8473510742188
11,"2024-03|2024-04","2024-05",10,4.6,5.45,0,176.853017091979,16.3218390804598,-26.4296779032783,435,-3.338894997888,11.1111111111111,-25.4688381908963,81,19.5838530063629
12,"2024-04|2024-05","2024-06",2,2.2,0.15,0.15,-22.6361219337659,50.2222222222222,-28.4979998368515,450,-6.20534591568066,61.6279069767442,-25.0850756962456,86,12.8290090560913
13,"2024-05|2024-06","2024-07",10,2.15,0.05,9.75,46.6858055328767,97.8640776699029,-20.018297067255,515,-27.0845691910271,96.3963963963964,-37.0570632014076,222,18.4350461959839
14,"2024-06|2024-07","2024-08",10,2.35,0,12.6,-20.4176367618402,79.6033994334278,-36.7537054079567,353,-47.3834371897741,75.4966887417219,-53.1765768737203,151,13.878476858139
15,"2024-07|2024-08","2024-09",10,2.85,0.35,1.7,-30.0854249752899,75.9493670886076,-38.3567803729423,395,-0.312450905118094,82.6923076923077,-6.81412185504156,52,14.5753500461578
16,"2024-08|2024-09","2024-10",2,2.2,0.15,0.15,-11.4070402709335,49.7435897435897,-15.4444193204132,195,-1.70327664013717,53.3333333333333,-5.92577956017653,60,15.3006670475006
17,"2024-09|2024-10","2024-11",10,1.9,0.5,1.85,-25.1344843102003,77.8042959427208,-35.3821219458372,419,-19.9472473945742,72.4031007751938,-48.9613251002635,645,12.9312589168549
18,"2024-10|2024-11","2024-12",2,1.2,1.25,3.5,22.4531422869038,73.0848861283644,-25.8553059388859,483,-49.6978953848663,67.5,-59.0972609832538,240,16.2551209926605
19,"2024-11|2024-12","2025-01",9,3.55,0,7.55,11.4262389171239,86.8686868686869,-29.8350076145771,297,-15.1337406988273,77.7777777777778,-23.2738874721331,63,17.3043990135193
20,"2024-12|2025-01","2025-02",8,3.5,0.1,1.45,-13.9690299319563,77.8656126482213,-28.603933014156,253,-25.0955260398516,73.2673267326733,-26.0333440195626,101,15.4024901390076
21,"2025-01|2025-02","2025-03",10,2.7,0,4.6,-46.1551767061511,77.5725593667546,-50.2017677198399,379,-37.6913292396383,66.8674698795181,-41.4468193110573,166,10.7741479873657
22,"2025-02|2025-03","2025-04",6,2.35,0,13.25,-21.0222695656283,74.5019920318725,-27.8881771652224,251,-4.09979649323926,76.9230769230769,-24.4793367061883,65,14.4499928951263
23,"2025-03|2025-04","2025-05",5,1.85,0.15,2.35,-22.3537273317397,86.0706860706861,-37.8788238039904,481,-26.6696528603195,86.9688385269122,-39.025980586888,353,19.2578089237213
24,"2025-04|2025-05","2025-06",4,1.25,0.1,11.75,1.05568749519201,97.4683544303797,-36.568182048282,395,-31.345665492211,94.7916666666667,-40.8137331837945,96,13.3184859752655
25,"2025-05|2025-06","2025-07",5,1.85,0.15,2.35,-35.7723661585373,87.7593360995851,-51.1827037849673,482,7.4417676727646,92.1787709497207,-8.45503550069695,179,11.7396218776703
26,"2025-06|2025-07","2025-08",10,1.8,0.15,5.2,-43.0492131070474,93.8242280285036,-46.3230568907155,421,-16.0048879962242,94.4444444444444,-23.9165149793409,126,12.1357359886169
27,"2025-07|2025-08","2025-09",7,2.15,0,4.1,-2.73097257571713,79.9163179916318,-14.3859245179841,239,-6.72832610738431,74.4186046511628,-11.6430866201831,43,11.5868830680847
28,"2025-08|2025-09","2025-10",10,1.8,0.8,0.85,-19.2884978144188,57.0342205323194,-28.0449559303738,263,66.2403479933021,57.8378378378378,-55.8620689655172,185,10.2726361751556
