"window_id","train_start","train_end","train_months_count","test_month","lookback","minDrop","TP","SL","train_return_pct","train_win_rate","train_max_dd","train_trades","test_return_pct","test_win_rate","test_max_dd","test_trades","opt_time_secs"
1,"2017-08","2019-12",29,"2020-01",6,5.1,0.75,3.65,363.487459925214,79.9599198396794,-27.5741073903343,499,0.818654011262188,100,-1.42468191570335,1,162.204366922379
2,"2017-08","2020-01",30,"2020-02",8,5.35,1.1,8.05,669.153671256645,89.1891891891892,-33.3159610496349,370,1.01608051197025,100,-2.06961012593455,1,141.724947929382
3,"2017-08","2020-02",31,"2020-03",8,5.35,1.1,8.05,676.968891817388,89.2183288409704,-33.3159610496349,371,-18.5191549567278,78.9473684210526,-40.3754763876769,38,164.18057513237
4,"2017-08","2020-03",32,"2020-04",1,4.5,9.1,12.85,1741.92839009943,73.7373737373737,-44.8931137576478,99,10.0812288853399,100,-8.05010830601721,2,204.318946838379
5,"2017-08","2020-04",33,"2020-05",1,4.5,9.1,12.85,2072.91576693173,74.2574257425743,-44.8931137576478,101,9.11008547844865,100,-8.15409952233478,1,198.554907798767
6,"2017-08","2020-05",34,"2020-06",1,4.5,9.1,12.85,2470.81649162876,74.5098039215686,-44.8931137576478,102,-9.19213734032563,0,-13.0913683915752,1,186.759415149689
7,"2017-08","2020-06",35,"2020-07",1,4.35,9,12,2305.87684451011,72.7272727272727,-46.4152261291532,110,3.25014337270715,100,-5.11504595239073,1,226.07010102272
8,"2017-08","2020-07",36,"2020-08",1,4.5,9.1,12.85,2723.10720075257,74.7572815533981,-44.8931137576478,103,9.08397734099452,100,-3.87814313346228,1,205.892149925232
9,"2017-08","2020-08",37,"2020-09",1,4.5,9.1,12.85,2979.55761918092,75,-44.8931137576478,104,9.09802344176804,100,-6.53722575083631,1,217.362596988678
10,"2017-08","2020-09",38,"2020-10",1,4.5,9.1,12.85,3259.73649327675,75.2380952380952,-44.8931137576478,105,0,0,0,0,248.425502061844
11,"2017-08","2020-10",39,"2020-11",1,4.5,9.1,12.85,3259.73649327675,75.2380952380952,-44.8931137576478,105,19.2658728945363,100,-9.54226740022318,2,198.322262048721
12,"2017-08","2020-11",40,"2020-12",1,4.5,9.1,12.85,3907.0190556628,75.7009345794392,-44.8931137576478,107,25.0606021309613,100,-9.66106987458408,3,254.549376010895
13,"2017-08","2020-12",41,"2021-01",1,4.5,9.1,12.85,4911.20215851425,76.3636363636364,-44.8931137576478,110,3.60682199657895,60,-29.1476649717095,5,233.277886152267
14,"2017-08","2021-01",42,"2021-02",1,4.5,9.1,12.85,5366.19833648603,75.6521739130435,-44.8931137576478,115,-4.98861459095833,50,-20.0614893211324,2,229.249207019806
15,"2017-08","2021-02",43,"2021-03",6,5.8,9.25,12.1,2878.08769318301,69.1780821917808,-44.4174373797686,146,6.73514558049279,100,-15.3568217002796,1,254.678143978119
16,"2017-08","2021-03",44,"2021-04",1,4.95,6.45,7.8,3438.23145333299,72.7941176470588,-43.6377114027475,136,-8.60865301422738,0,-10.0283924198289,1,257.835556983948
17,"2017-08","2021-04",45,"2021-05",9,5.15,9.7,10.95,3513.77738424914,64.8648648648649,-53.0554781418378,185,-21.4490184004879,50,-46.6667797818059,12,254.235378980637
18,"2017-08","2021-05",46,"2021-06",9,5.15,9.7,10.95,2738.65760814887,63.9593908629442,-53.0554781418378,197,17.4358778085161,75,-17.6428995142607,4,242.106856107712
19,"2017-08","2021-06",47,"2021-07",9,5.15,9.7,10.95,3406.28055526338,64.1791044776119,-53.0554781418378,201,10.0198041757456,100,-9.3570389905171,1,278.591953992844
20,"2017-08","2021-07",48,"2021-08",9,5.15,9.7,10.95,3757.60300075301,64.3564356435644,-53.0554781418378,202,0,0,0,0,261.088272094727
21,"2017-08","2021-08",49,"2021-09",9,5.15,9.7,10.95,3757.60300075301,64.3564356435644,-53.0554781418378,202,-6.97783022031024,50,-15.3033121589632,2,267.514742136002
22,"2017-08","2021-09",50,"2021-10",1,4.95,6.45,7.8,2943.44375673521,70.4697986577181,-43.6377114027475,149,8.53154133434435,100,-5.80999781362146,2,329.605345010757
23,"2017-08","2021-10",51,"2021-11",9,5.15,9.7,10.95,4001.64518139074,64.0776699029126,-53.0554781418378,206,-7.97385302906945,50,-15.5425119859552,2,262.04678106308
24,"2017-08","2021-11",52,"2021-12",9,5.15,9.7,10.95,4175.89171766603,64.4230769230769,-53.0554781418378,208,-5.86180611939046,50,-17.2534734156915,2,298.245799064636
25,"2017-08","2021-12",53,"2022-01",9,5.15,9.7,10.95,3904.57551807313,64.1148325358852,-53.0554781418378,209,-13.1309962242717,50,-23.6348411654694,4,309.891763925552
26,"2017-08","2022-01",54,"2022-02",9,5.15,9.7,10.95,3378.73485799684,63.849765258216,-53.0554781418378,213,10.5987010751817,100,-3.21455833856973,1,292.127525091171
27,"2017-08","2022-02",55,"2022-03",9,5.15,9.7,10.95,4062.39608546724,64.018691588785,-53.0554781418378,214,-2.54261410825788,50,-14.8056554434512,2,308.346060037613
28,"2017-08","2022-03",56,"2022-04",9,5.15,9.7,10.95,3956.56241535657,63.8888888888889,-53.0554781418378,216,0,0,0,0,325.401314020157
29,"2017-08","2022-04",57,"2022-05",9,5.15,9.7,10.95,3956.56241535657,63.8888888888889,-53.0554781418378,216,-15.0984932730331,33.3333333333333,-23.6386021848626,3,295.163436174393
30,"2017-08","2022-05",58,"2022-06",9,5.15,9.7,10.95,3344.08261195757,63.4703196347032,-53.0554781418378,219,-16.8076469215447,40,-34.6330855795617,5,332.007256031036
31,"2017-08","2022-06",59,"2022-07",6,5.8,9.25,12.1,2828.95813019172,67.6300578034682,-44.4174373797686,173,9.39399429959165,100,-3.19462130337521,1,285.585514068604
32,"2017-08","2022-07",60,"2022-08",9,5.15,9.7,10.95,3041.57371921251,63.1111111111111,-53.0554781418378,225,-11.4054297289225,0,-11.4054297289225,1,336.440170049667
33,"2017-08","2022-08",61,"2022-09",9,5.15,9.7,10.95,2683.26373628543,62.8318584070796,-53.0554781418378,226,-9.39883396028117,50,-15.9867699054448,2,333.201740026474
34,"2017-08","2022-09",62,"2022-10",8,5.85,6.2,16.3,3418.62416625618,81.151832460733,-51.8736195489553,191,0,0,0,0,315.404632091522
35,"2017-08","2022-10",63,"2022-11",6,5.8,9.25,12.1,2571.16226791951,67.2316384180791,-44.4174373797686,177,-1.02991437879342,66.6666666666667,-13.8571631765872,3,328.621523857117
36,"2017-08","2022-11",64,"2022-12",9,5.85,4.6,16.5,2397.29034435869,84.1201716738197,-53.681422772852,233,0,0,0,0,366.70865893364
37,"2017-08","2022-12",65,"2023-01",8,5.85,6.2,16.3,2929.22841140734,80.4123711340206,-51.8736195489553,194,0,0,0,0,319.579389095306
38,"2017-08","2023-01",66,"2023-02",6,5.7,9.15,11.25,2763.33874002695,66.1290322580645,-45.3933438631189,186,0,0,0,0,352.895618915558
39,"2017-08","2023-02",67,"2023-03",6,5.7,9.15,11.25,2763.33874002695,66.1290322580645,-45.3933438631189,186,-8.11224211640112,50,-14.8547857473135,2,392.889832019806
40,"2017-08","2023-03",68,"2023-04",9,5.15,9.7,10.95,2744.77101928403,62.8205128205128,-55.8661239839673,234,4.73371506409701,100,-3.12696485176129,1,301.305778026581
41,"2017-08","2023-04",69,"2023-05",9,5.15,9.7,10.95,3056.654057237,62.9787234042553,-55.8661239839673,235,-1.0529174926023,0,-6.8683375700567,1,361.249823093414
