"window_id","train_start","train_end","train_months_count","test_month","lookback","minDrop","TP","SL","train_return_pct","train_win_rate","train_max_dd","train_trades","test_return_pct","test_win_rate","test_max_dd","test_trades","opt_time_secs"
1,"2017-08","2019-12",29,"2020-01",10,8.1,0,9.5,894.883453969669,93.9130434782609,-29.8853112925253,345,0,0,0,0,145.600780010223
2,"2017-08","2020-01",30,"2020-02",9,8,0.35,9.25,894.545593836984,93.6454849498328,-29.3405307642834,299,5.92360779320601,100,-0.436028181334137,5,150.993227958679
3,"2017-08","2020-02",31,"2020-03",9,7.9,0,17.85,982.714932067432,97.1153846153846,-30.7345436807902,312,-2.12673655733877,89.4736842105263,-40.3282249004462,19,172.813574075699
4,"2017-08","2020-03",32,"2020-04",5,5.9,1,20,1208.7902894945,95.7377049180328,-42.4793471595985,305,2.83934014933597,100,-1.98688396857347,2,169.735188007355
5,"2017-08","2020-04",33,"2020-05",9,8,0.35,9.25,900.128074855987,92.7927927927928,-46.0292057607011,333,0.864153988383132,100,-6.08171327580829,2,196.066764831543
6,"2017-08","2020-05",34,"2020-06",10,10.65,4.85,14.95,2208.6968923017,89.247311827957,-39.3515252688266,93,4.9037056637541,100,-1.97200752036766,1,178.563550949097
7,"2017-08","2020-06",35,"2020-07",9,8,0.35,9.25,915.640129863849,92.8571428571429,-46.0292057607011,336,0,0,0,0,213.263247013092
8,"2017-08","2020-07",36,"2020-08",9,8,0.35,9.25,915.640129863849,92.8571428571429,-46.0292057607011,336,3.40679324139124,100,-2.51236554918741,4,234.643019914627
9,"2017-08","2020-08",37,"2020-09",9,7.95,0.15,19.5,1129.36677476642,98.0263157894737,-39.8877364340555,304,5.02642189656299,100,-3.46946679771485,8,238.541061878204
10,"2017-08","2020-09",38,"2020-10",9,8,0.35,9.25,1047.94650308663,93.1034482758621,-46.0292057607011,348,0,0,0,0,223.455953121185
11,"2017-08","2020-10",39,"2020-11",9,8,0.35,9.25,1047.94650308663,93.1034482758621,-46.0292057607011,348,2.432174661272,100,-8.96546552176684,2,244.514153003693
12,"2017-08","2020-11",40,"2020-12",9,8,0.35,9.25,1075.86656705967,93.1428571428571,-46.0292057607011,350,5.77747477873405,100,-2.82195648845873,4,244.361701965332
13,"2017-08","2020-12",41,"2021-01",9,8.05,0.9,18.45,1464.76014045781,96.309963099631,-35.393124211609,271,34.6490456382201,100,-15.8516265899427,17,254.462024927139
14,"2017-08","2021-01",42,"2021-02",10,10.3,0.5,20,2064.43313435821,98.9417989417989,-35.0843239369758,189,8.23065554351266,100,-1.62955096080448,3,262.734425067902
15,"2017-08","2021-02",43,"2021-03",9,8.05,0.9,18.45,2405.6673183578,96.6555183946488,-35.393124211609,299,0,0,0,0,263.346080064774
16,"2017-08","2021-03",44,"2021-04",10,10.3,0.6,20,2398.12557757682,98.9528795811518,-35.0843239369758,191,8.25352070537925,100,-2.67577480018806,4,255.726256132126
17,"2017-08","2021-04",45,"2021-05",9,10.5,8.85,9.35,2756.93341630655,70.1923076923077,-41.1348671355214,104,21.9863343310671,63.6363636363636,-26.1644139298183,11,297.863965988159
18,"2017-08","2021-05",46,"2021-06",9,8,0.35,9.25,1844.49998051435,92.8089887640449,-46.0292057607011,445,4.32792364677916,100,-3.6650616794898,3,263.985085010529
19,"2017-08","2021-06",47,"2021-07",9,8,0.35,9.25,1928.65645498265,92.8571428571429,-46.0292057607011,448,1.16881527408113,100,-5.06333564816849,2,259.123033046722
20,"2017-08","2021-07",48,"2021-08",9,8.15,0,17.95,2190.26933910599,96.8523002421308,-45.7860095748924,413,0,0,0,0,291.405480861664
21,"2017-08","2021-08",49,"2021-09",9,8,0.35,9.25,1952.36770148712,92.8888888888889,-46.0292057607011,450,10.5303371461725,100,-4.94648399687205,9,233.511554956436
22,"2017-08","2021-09",50,"2021-10",9,8.1,0,20,2964.34760807535,97.624703087886,-41.5082416364923,421,0.0730220106129673,100,-0.075,1,285.806190013885
23,"2017-08","2021-10",51,"2021-11",9,8,0,20,3087.58797628884,97.6798143851508,-41.1224940004898,431,0.51108057306903,100,-0.762587932423114,2,289.986396789551
24,"2017-08","2021-11",52,"2021-12",9,8,0.35,9.25,2204.2856136682,93.058568329718,-46.0292057607011,461,2.88980448445325,100,-1.09864844677155,2,258.158596992493
25,"2017-08","2021-12",53,"2022-01",9,8.05,0.9,18.45,3757.51852150441,96.5417867435158,-35.393124211609,347,5.92821280511736,100,-8.04788701791428,4,322.054998874664
26,"2017-08","2022-01",54,"2022-02",9,8,0.35,9.25,2375.00849568955,93.1477516059957,-46.0292057607011,467,0.515974483915688,100,-0.562105244177837,2,281.715312004089
27,"2017-08","2022-02",55,"2022-03",9,8,0,20,3336.61052370864,97.737556561086,-41.1224940004898,442,0,0,0,0,286.026639938354
28,"2017-08","2022-03",56,"2022-04",9,7.85,0.3,20,3213.78261721969,97.6525821596244,-40.7767577526637,426,0,0,0,0,315.450805902481
29,"2017-08","2022-04",57,"2022-05",9,8,0.35,9.25,2387.77890800206,93.1769722814499,-46.0292057607011,469,5.20713688063555,100,-8.67391431150966,5,266.922133922577
30,"2017-08","2022-05",58,"2022-06",9,8,0.35,9.25,2517.32096102931,93.2489451476793,-46.0292057607011,474,14.1891679677733,100,-4.75238783208925,11,295.26823091507
31,"2017-08","2022-06",59,"2022-07",9,8.05,0.9,18.45,5104.16028989588,96.7213114754098,-35.393124211609,366,3.05155441677009,100,-4.68562430951194,2,303.815156936646
32,"2017-08","2022-07",60,"2022-08",9,7.9,0,9.15,2814.17789342098,94.280442804428,-38.8328081501131,542,0,0,0,0,297.83626294136
33,"2017-08","2022-08",61,"2022-09",9,8,0,20,4052.04162024412,97.8448275862069,-41.1224940004898,464,0.26748621090419,100,-2.45612413119829,3,282.221976995468
34,"2017-08","2022-09",62,"2022-10",9,8,0,20,4063.14775904928,97.8586723768737,-41.1224940004898,467,0,0,0,0,330.0147960186
35,"2017-08","2022-10",63,"2022-11",9,7.9,0,9.15,2810.35600599664,94.3119266055046,-38.8328081501131,545,-8.02256084631994,88.8888888888889,-14.341139331894,9,291.784322023392
36,"2017-08","2022-11",64,"2022-12",9,8,0.35,9.25,2844.43339459818,93.4,-46.0292057607011,500,0,0,0,0,301.887177944183
37,"2017-08","2022-12",65,"2023-01",9,7.8,0.9,16.85,2517.77844437493,95.2618453865337,-40.3282249004463,401,1.06029374271833,100,-3.40676622513167,1,350.763608932495
38,"2017-08","2023-01",66,"2023-02",9,7.9,0,9.15,2580.16913168475,94.2342342342342,-38.8328081501131,555,0,0,0,0,306.344686031342
39,"2017-08","2023-02",67,"2023-03",6,7.1,0.45,18.8,2615.3385531296,97.1153846153846,-38.5888159624649,416,0,0,0,0,318.738810062408
40,"2017-08","2023-03",68,"2023-04",9,8,0.5,15.25,2463.89657472812,95.8715596330275,-40.8571936193507,436,0.902548287132104,100,-0.374843394934978,1,366.229665994644
41,"2017-08","2023-04",69,"2023-05",8,8.05,0.5,17.75,2752.49416457975,96.6321243523316,-44.1559357023685,386,0,0,0,0,317.053736925125
42,"2017-08","2023-05",70,"2023-06",9,8.15,0,17.95,2753.48720402218,96.989247311828,-45.7860095748924,465,0,0,0,0,348.943150997162
43,"2017-08","2023-06",71,"2023-07",8,8.05,0.5,17.75,2752.49416457975,96.6321243523316,-44.1559357023685,386,0,0,0,0,254.824073076248
44,"2017-08","2023-07",72,"2023-08",9,8.15,0,17.95,2753.48720402218,96.989247311828,-45.7860095748924,465,5.39924033917005,100,-0.418420370530376,2,256.410978794098
45,"2017-08","2023-08",73,"2023-09",9,7.8,0.9,16.85,2713.5397719044,95.3086419753086,-40.3282249004463,405,0,0,0,0,257.988509893417
46,"2017-08","2023-09",74,"2023-10",9,7.8,0.9,16.85,2713.5397719044,95.3086419753086,-40.3282249004463,405,0,0,0,0,272.948195934296
47,"2017-08","2023-10",75,"2023-11",9,8,0.35,9.25,3031.42020787977,93.4393638170974,-46.0292057607011,503,0,0,0,0,284.624625921249
48,"2017-08","2023-11",76,"2023-12",9,8,0.35,9.25,3031.42020787977,93.4393638170974,-46.0292057607011,503,1.44329261503017,100,-0.075,1,302.423850059509
49,"2017-08","2023-12",77,"2024-01",9,8.05,0.9,18.45,5036.03745560938,96.5968586387435,-35.393124211609,382,2.63203692674049,100,-0.0750000000000182,1,276.100936889648
50,"2017-08","2024-01",78,"2024-02",9,7.9,0,18.75,3482.25411969604,97.4257425742574,-38.8062014819449,505,0.050979113159101,100,-3.17931607418857,1,267.154547929764
51,"2017-08","2024-02",79,"2024-03",9,8.1,0,20,3620.49371825314,97.6595744680851,-41.5082416364923,470,3.16353388754611,100,-2.18054029039162,2,336.114717006683
52,"2017-08","2024-03",80,"2024-04",9,7.85,0.3,20,4033.24770834786,97.644539614561,-40.7767577526637,467,4.70423502876618,100,-2.86465918738459,5,272.896188020706
53,"2017-08","2024-04",81,"2024-05",9,7.9,0,13.85,2848.04164496344,96.2616822429907,-39.1471826872487,535,1.32156108989619,100,-0.075,1,310.15012717247
54,"2017-08","2024-05",82,"2024-06",9,8.1,0,20,3971.86064957105,97.6987447698745,-41.5082416364923,478,0,0,0,0,262.911275148392
55,"2017-08","2024-06",83,"2024-07",9,7.8,0.9,16.85,3126.39158638841,95.3995157384988,-40.3282249004463,413,0.83196090125406,100,-2.34199539799109,1,246.794287919998
56,"2017-08","2024-07",84,"2024-08",8,7.9,0.05,18.3,2556.81392270563,97.644539614561,-44.0573082489964,467,0.407235378278347,100,-13.4312355301744,1,225.689013004303
57,"2017-08","2024-08",85,"2024-09",9,8,0,20,4068.89939323667,97.7551020408163,-41.1224940004898,490,0,0,0,0,220.21339392662
58,"2017-08","2024-09",86,"2024-10",8,8.35,0.5,19.25,2555.19831941364,96.9014084507042,-35.0843239369758,355,0,0,0,0,227.721247196198
59,"2017-08","2024-10",87,"2024-11",7,7.85,0.35,18.3,2488.54985189027,97.2222222222222,-44.6446186089724,396,0,0,0,0,216.251248121262
60,"2017-08","2024-11",88,"2024-12",8,8,0,11.3,2532.81508180175,94.9494949494949,-44.6962323029924,495,0.1751586550293,100,-0.075,1,229.4165391922
61,"2017-08","2024-12",89,"2025-01",10,7.9,0.35,13.55,2575.7399101976,95.6777996070727,-40.9970903438968,509,0.90973251451227,100,-0.075,1,248.873501062393
