"window_id","train_months","test_month","lookback","minDrop","TP","SL","train_return_pct","train_win_rate","train_max_dd","train_trades","test_return_pct","test_win_rate","test_max_dd","test_trades","opt_time_secs"
1,"2023-05","2023-06",5,3.25,0.2,0.95,-34.9767146826943,65.3483992467043,-51.1350088125025,531,-14.7217443716785,64.1732283464567,-30.9844364882189,254,11.5726611614227
2,"2023-06","2023-07",2,1.1,0,3.75,171.516627138311,33.458882611425,-21.7383335297988,1593,1.94888976609103,30.9379727685325,-24.4959450494214,1322,16.5219340324402
3,"2023-07","2023-08",8,1.65,0,3.3,13.7310150829817,31.9060773480663,-12.6117402098089,724,39.8154440531702,29.0648694187026,-100,1187,16.1696670055389
4,"2023-08","2023-09",8,2.8,0,1.95,15.4159448493569,32.5670498084291,-8.84462792605756,261,241.852765025894,29.8003072196621,-10.9226523793017,651,12.0297260284424
5,"2023-09","2023-10",8,0,0,4.95,16143.0010445906,25.9827044025157,-11.5661459794859,2544,4122.939660972,27.8968080454744,-20.6031145180391,2287,14.1130921840668
6,"2023-10","2023-11",5,1,0,5.3,3647.91749530857,27.4750227066303,-17.9908898849511,2202,117.501627428,31.5753424657534,-23.6388912586585,1460,15.4182469844818
7,"2023-11","2023-12",2,1.65,0.2,3.55,107.135803216232,87.4125874125874,-18.8765767055583,429,11.9807495333701,85.2242744063325,-33.2645639858745,379,10.3538641929626
8,"2023-12","2024-01",7,2.1,1.05,1.65,19.9252889238691,64.4391408114558,-23.4804932913103,419,-6.77638357287766,57.9861111111111,-35.98952447181,288,17.7337031364441
9,"2024-01","2024-02",2,1.5,0.05,2.35,49.5748303145683,80.1788375558867,-23.4964722090331,671,158.968899077823,80.1136363636364,-29.2807426307759,704,11.4903919696808
10,"2024-02","2024-03",7,1.4,0,12.55,252.665152024357,34.4782034346103,-18.4842769006505,757,48.0873015909304,83.3655705996132,-47.6341898973577,517,14.6384799480438
11,"2024-03","2024-04",4,3,5.45,0.05,74.8463917174002,15.6118143459916,-24.865388415609,474,-2.38494629806895,15,-34.6351090002904,120,15.2483921051025
12,"2024-04","2024-05",9,2.55,1.6,0,-15.4703577564864,21.0428305400372,-35.8690083332856,537,-23.1679731180276,21.9954648526077,-100,441,11.6281199455261
13,"2024-05","2024-06",6,1.85,0,6.75,70.596668703147,78.3715012722646,-16.3304656196483,393,-37.8084716363007,80.1652892561983,-40.9219040889765,242,13.330846786499
14,"2024-06","2024-07",10,1.8,0.8,0.85,-34.951479224374,54.4811320754717,-39.9460526999205,424,-55.8880197397237,53.1779661016949,-58.7854231049846,472,15.1002390384674
15,"2024-07","2024-08",9,1.95,0,6.35,-7.30583192157108,74.2028985507246,-29.3596527255231,345,-40.0513314712235,74.1496598639456,-40.9694491819986,294,11.906769990921
16,"2024-08","2024-09",9,2.75,0,0,-32.60250745929,47.2081218274112,-32.9788228600673,394,-11.2811163482098,50.4950495049505,-12.8495838109033,101,11.50221991539
17,"2024-09","2024-10",6,1.05,0,8.4,3.22562994166605,63.2152588555858,-15.6083322786041,367,-40.9663544116121,70.5722070844687,-42.6081888716506,367,13.0380911827087
18,"2024-10","2024-11",9,1.8,0,4.45,-24.7307746323848,74.061433447099,-25.2151096045837,293,-43.4637826832047,82.1150855365474,-53.8169517545278,643,12.6311500072479
19,"2024-11","2024-12",6,1.45,0.25,6,31.6125148352941,91.7040358744395,-21.9668728078168,446,-45.0890752742458,90.7042253521127,-54.6461295819943,355,12.8560810089111
20,"2024-12","2025-01",6,2,0,6.3,-26.0157667205671,87.220447284345,-38.2300394138368,313,-27.8653943041926,83.9779005524862,-36.2237095064743,181,13.421049118042
21,"2025-01","2025-02",9,2.1,0,1.2,-42.2817964423807,72.972972972973,-43.7806938950255,407,-56.4925589511903,68.1297709923664,-58.8143543983587,524,11.0428149700165
22,"2025-02","2025-03",10,2.45,0.45,1.5,-26.7206758333669,70.5882352941177,-31.3351140881653,272,-28.9605248400114,69.7777777777778,-37.4395996867176,225,9.44877409934998
23,"2025-03","2025-04",2,0,0.2,8.8,-32.9377121886183,94.4983818770227,-42.4401050340756,309,-2.69907331665971,96.0526315789474,-29.0469260572019,228,14.3640480041504
24,"2025-04","2025-05",5,0.9,0.1,7.15,-17.9439851432475,96.3525835866261,-26.9151061154704,329,-30.9655649897727,95.5456570155902,-45.3835933061301,449,12.915628194809
25,"2025-05","2025-06",10,1.8,0.15,5.2,-17.3453114504494,93.4844192634561,-39.5824379404904,353,-26.8224668054387,94.1176470588235,-30.2052217492381,204,16.4166979789734
26,"2025-06","2025-07",10,1.3,0.1,6.65,-37.2136965214635,95.3947368421053,-41.4898418797397,304,-24.8230125312357,95.2029520295203,-28.8538030912796,271,10.9451861381531
27,"2025-07","2025-08",6,1.35,0,3.85,-26.6277142928366,78.4974093264249,-31.1730987813849,386,-27.7668748811639,68.5950413223141,-28.0151168678475,242,12.0506701469421
28,"2025-08","2025-09",1,0.85,0.2,0,-32.9776466263444,44.141689373297,-33.7624115274515,367,-18.6318429686616,42.7083333333333,-20.087703399245,192,9.10696220397949
29,"2025-09","2025-10",5,1,0,5.3,-26.1972642200587,66.0714285714286,-27.3602929806467,280,3.08492397321463,64.4067796610169,-55.8620689655172,354,13.5037090778351
