"window_id","train_start","train_end","train_months_count","test_month","lookback","minDrop","TP","SL","train_return_pct","train_win_rate","train_max_dd","train_trades","test_return_pct","test_win_rate","test_max_dd","test_trades","opt_time_secs"
1,"2018-05","2021-12",44,"2022-01",4,5.65,0,20,1106.9196112036,97.8813559322034,-44.9407895523893,472,8.91056941402207,87.5,-3.45267036235803,8,505.694386005402
2,"2018-05","2022-01",45,"2022-02",5,6.85,1.15,16.05,1869.73271672234,94.7712418300653,-46.5963993692913,306,0,0,0,0,749.677058935165
3,"2018-05","2022-02",46,"2022-03",5,6.85,1.15,16.05,1869.73271672234,94.7712418300653,-46.5963993692913,306,5.66890801171436,100,-0.303582270795386,2,898.348513126373
4,"2018-05","2022-03",47,"2022-04",5,7.4,1.65,16.6,1781.08166009335,93.9655172413793,-44.8534172854619,232,0,0,0,0,700.761273860931
5,"2018-05","2022-04",48,"2022-05",7,6.7,0,19.55,1254.2251566174,97.3360655737705,-35.4417787493681,488,-0.858710600643863,92.3076923076923,-20.7029523949711,13,728.366636037827
6,"2018-05","2022-05",49,"2022-06",6,6.85,0,16.55,1590.54900933572,96.8253968253968,-43.4693580376551,441,0,0,0,0,861.703150033951
7,"2018-05","2022-06",50,"2022-07",3,6.55,1.35,20,2118.33180604588,95.81589958159,-35.894685667159,239,0,0,0,0,671.935940027237
8,"2018-05","2022-07",51,"2022-08",6,7.15,0,16.35,1361.73542610442,96.5346534653465,-45.5111059773618,404,0.666825626278132,100,-0.075,1,802.863445997238
9,"2018-05","2022-08",52,"2022-09",3,5.9,1.55,18.1,2098.01945726053,94.059405940594,-44.415584430485,303,4.09899481382979,100,-0.305654610290356,1,999.32648897171
10,"2018-05","2022-09",53,"2022-10",6,6.85,0,16.55,1610.16021329312,96.8397291196388,-43.4693580376551,443,1.22009190552326,100,-0.075,1,650.73309803009
11,"2018-05","2022-10",54,"2022-11",3,6.55,1.35,20,2265.97776482009,95.8677685950413,-35.894685667159,242,-20.1287123635435,50,-23.8528699347674,2,814.598365068436
12,"2018-05","2022-11",55,"2022-12",8,7.9,7.75,9.5,3943.15207877756,67.9611650485437,-53.5584800217959,206,0,0,0,0,948.429409980774
13,"2018-05","2022-12",56,"2023-01",10,8.15,0,16.15,1662.03825617567,96.6666666666667,-41.7246142244899,390,0.0365756576899003,100,-0.075,1,660.359526157379
14,"2018-05","2023-01",57,"2023-02",10,8.1,0,16.05,1734.10124439043,96.7171717171717,-41.4417381825632,396,0,0,0,0,941.195513963699
15,"2018-05","2023-02",58,"2023-03",3,5.9,1.6,20,2078.38883132982,94.5578231292517,-45.8443630957391,294,0,0,0,0,575.055670022964
16,"2018-05","2023-03",59,"2023-04",3,5.9,1.6,20,2078.38883132982,94.5578231292517,-45.8443630957391,294,1.52924095313783,100,-1.17432678679895,1,612.221858978271
17,"2018-05","2023-04",60,"2023-05",3,5.9,1.6,20,2111.7016454571,94.5762711864407,-45.8443630957391,295,0,0,0,0,508.312976121902
