dataset,symbol,timeframe,signalMode,atrLength,train_months,test_months,windows,phase1,phase2,cumulative_return_pct,max_drawdown_pct,avg_monthly_return_pct,sd_monthly_return_pct,sharpe_ratio,pos_months,neg_months,zero_months,lookback_mean,lookback_sd,dropATR_mean,dropATR_sd,TP_mean,TP_sd,SL_mean,SL_sd
DOGEUSDT_1h,DOGEUSDT,1h,atr,14,12,1,12,200,200,-41.6046009730301,-46.7557036640948,-4.17367710776621,6.61292376966441,-2.18633120744565,2,8,2,16.5,3.96576256567041,5.87083333333333,1.08825513664041,2.925,2.70416345659799,2.84583333333333,1.28371944211366
DOGEUSDT_30m,DOGEUSDT,30m,atr,14,12,1,12,200,200,-52.7232383739953,-55.6602706208189,-5.55945444972808,9.53333917280298,-2.02012272819676,3,6,3,15.4166666666667,2.31431644466797,6.725,1.01096263756157,2.74166666666667,1.29471536593488,2.12916666666667,1.23333589270824
DOGEUSDT_5m,DOGEUSDT,5m,atr,14,12,1,9,150,150,-62.3028640417786,-39.4022943800768,-8.89877260847184,15.4763676965272,-1.99182735705278,3,5,1,12.6666666666667,5.65685424949238,7.35555555555556,1.50155012496346,2.02777777777778,1.88896650167345,3.37777777777778,1.27331042736814
DOGEUSDT_15m,DOGEUSDT,15m,atr,14,12,1,12,200,200,-77.6597882806841,-76.5345677418354,-10.8719287994918,12.397808999457,-3.0377517604628,1,11,0,7.91666666666667,7.46456274470896,5,1.16111231936528,3.84583333333333,2.31786131177128,2.825,1.75389177648918
PEPEUSDT_1h,PEPEUSDT,1h,atr,14,12,1,12,200,200,-22.3112275006104,-38.9747095957634,-1.6479473153103,9.32562878866288,-0.612147136241186,5,4,3,16,3.24737656354395,5.97083333333333,1.11201257623148,3.17916666666667,2.00277742753468,3.98333333333333,1.47822579978551
PEPEUSDT_5m,PEPEUSDT,5m,atr,14,12,1,9,150,150,-32.7076380080262,-24.5751334363904,-1.47832214898761,24.7312791058842,-0.207068066397886,5,4,0,14,3.70809924354783,6.55555555555556,1.03242567663623,4.21111111111111,2.83226695618741,3.03888888888889,1.60268871310405
PEPEUSDT_30m,PEPEUSDT,30m,atr,14,12,1,12,200,200,-56.3281245594107,-65.9269116516919,-4.84044463347594,18.6557057640005,-0.898802344168898,5,5,2,14.3333333333333,4.43812682299297,5.55833333333333,1.22545600665321,3.3875,2.98017121228722,3.59583333333333,1.61096503169167
PEPEUSDT_15m,PEPEUSDT,15m,atr,14,12,1,12,200,200,-86.1137082469463,-86.3944461227365,-13.7762372467868,15.6069690051952,-3.05775488381052,2,10,0,10.5,4.81475006431468,4.60833333333333,0.478080125147037,5.0875,2.62757449509481,3.12083333333333,1.4029932827762
XRPUSDT_30m,XRPUSDT,30m,atr,14,12,1,12,200,200,-23.0683414387643,-27.8893087633209,-2.04608441669034,4.97339513498606,-1.42515206216066,4,8,0,15.0833333333333,4.81396327616263,5.37083333333333,1.08595545139948,2.375,1.94287743495897,2.70833333333333,1.82679965231466
XRPUSDT_15m,XRPUSDT,15m,atr,14,12,1,12,200,200,-27.4113087193521,-39.1380183403325,-2.08462394471815,10.6671831076036,-0.67696870870301,7,5,0,15.25,6.13670032746352,5.52916666666667,1.42070058475217,3.325,1.89898298139724,2.75833333333333,1.64093007625295
XRPUSDT_1h,XRPUSDT,1h,atr,14,12,1,12,200,200,-38.8462305412154,-46.6215100169786,-3.73099202236219,7.87015351674049,-1.64222152252041,3,9,0,15.6666666666667,3.31205328605942,4.525,0.397434957514491,4.125,2.7919934227586,2.70833333333333,1.08414887717453
XRPUSDT_5m,XRPUSDT,5m,atr,14,12,1,9,150,150,-47.2889785794318,-24.3946617867312,-4.95738368116133,20.6275666255473,-0.832520923505339,2,7,0,15.8888888888889,3.25747004761534,4.55,0.697764286847643,6.03333333333333,1.60117144616059,5.22777777777778,0.763671686292247
