"lookback","minDrop","TP","SL","Trades","Signals","Return","WinRate","MaxDD","AvgPnL","Sharpe","ProfitFactor","Wins","Losses","AvgWin","AvgLoss","MaxWin","MaxLoss","Fees","Score"
3,8,6,20,117,351,2205.23130697141,86.3247863247863,-55.2284372766872,3.47860675332166,0.334539776255787,0.34044697350368,101,16,7.53656817030772,-22.1372746914029,15.7042633567188,-31.7241379310345,17901.4011547922,0.14661736952911
5,7,7,9,256,960,1769.35440924027,63.28125,-56.2098618568237,1.74760726630387,0.185983833090667,0.849636282778978,162,94,8.71006486771951,-10.251521791455,28.2828282828283,-16.25,23642.0521462529,0.124763272491122
3,7,6,9,208,519,1460.91743008957,67.3076923076923,-46.2764884680712,1.87535947397304,0.212516738565896,0.755863890058659,140,68,7.79577127338983,-10.3137236424733,28.2828282828283,-16.0839160839161,13383.06107327,0.121167740224166
3,8,6,19,117,351,1777.23324425027,85.4700854700855,-53.8312664843765,3.29040981781677,0.317784382919316,0.350834523401369,100,17,7.46890320533576,-21.288963049942,15.7042633567188,-31.7241379310345,14332.3422276684,0.120642418995633
6,7,5,10,302,1193,1349.58217491724,71.523178807947,-57.9739169680656,1.42068726234993,0.165606668548407,0.569093207368882,216,86,6.61269553868239,-11.6197056177409,28.2828282828283,-25.1968503937008,16668.5782195579,0.112116389904411
5,7,5,10,277,960,1282.65196361812,71.4801444043321,-54.3144478515968,1.48472348284742,0.172757018547833,0.579118539352688,198,79,6.67797599617111,-11.531276487255,28.2828282828283,-25.1968503937008,14998.124837727,0.11086988370622
5,7,6,9,270,960,1460.19082643248,65.9259259259259,-56.8006441741652,1.56343398644257,0.178402262420991,0.748678896666884,178,92,7.65876424122941,-10.2297049847754,28.2828282828283,-16.0839160839161,17841.3211566066,0.108673982973625
6,7,8,5,354,1193,1679.73719665281,47.7401129943503,-54.780146039049,1.31255338460964,0.156522914972301,1.52247351480973,169,185,9.78461083149736,-6.42678558038509,28.2828282828283,-18.1034482758621,32834.5756444972,0.108506597761605
3,8,5,20,121,351,1611.36143220485,87.603305785124,-57.2034503351949,3.06433388728983,0.314293975379794,0.298575403852961,106,15,6.64947744013289,-22.2706805528012,12.3101100052384,-31.7241379310345,13564.2162705113,0.105685517756706
5,7,5,17,224,960,1383.61891330734,81.6964285714286,-61.7641460427238,1.92084143410966,0.191074836093014,0.349935097362651,183,41,6.53551698064161,-18.6763689321183,18.4713375796178,-39.0394088669951,20957.7673891544,0.102876206723361
3,8,6,8,164,351,1352.90192429345,68.2926829268293,-47.4643764222851,2.16848411997976,0.256051415110363,0.791092679566775,112,52,7.68631419287696,-9.71607296010653,15.7042633567188,-31.7241379310345,17919.4017650984,0.0988591523787468
6,7,8,6,319,1193,1668.46297752416,52.3510971786834,-61.8117481212275,1.45147128105408,0.162249699359247,1.27345766760735,167,152,9.71914456069344,-7.63209080907601,28.2828282828283,-18.1034482758621,29991.4160338027,0.0947475655741185
3,8,7,20,114,351,1868.56331342967,83.3333333333333,-66.5634528295287,3.55277007158168,0.305568647320676,0.394175813592379,95,19,8.65452400624212,-21.9559996017205,15.7042633567188,-31.7241379310345,19992.1375975553,0.0884099202630746
3,7,6,10,207,519,1343.10684160138,69.5652173913043,-58.6625768358568,1.89720346982887,0.203095564692088,0.671407258380395,144,63,7.82823937065183,-11.6594500177665,28.2828282828283,-25.1968503937008,9849.04440581646,0.0883754949719612
5,7,8,5,325,960,1248.70621569399,47.3846153846154,-51.8465489366941,1.30169226575721,0.154643487650055,1.53870202034022,154,171,9.86881097619029,-6.41372458457433,28.2828282828283,-18.1034482758621,25281.2124458372,0.08168970153021
3,8,6,9,161,351,1085.08884648658,70.1863354037267,-46.8967456690051,2.10535336704754,0.238374507767234,0.699278020418837,113,48,7.64154425399762,-10.9277626793141,15.7042633567188,-31.7241379310345,13821.0491182554,0.0816117178636848
5,7,7,10,248,960,1246.7326367576,65.3225806451613,-60.6937773751215,1.70349874064249,0.172471445654671,0.758301982522598,162,86,8.69476918277316,-11.4661037201153,28.2828282828283,-25.1968503937008,12487.0986134093,0.0801723087042052
5,7,5,9,290,960,980.524528615021,68.2758620689655,-55.8963848393259,1.31544902323696,0.160822931110672,0.653664198304675,198,92,6.66283376284296,-10.1930529163499,28.2828282828283,-16.0839160839161,15718.1345409927,0.0799649042232578
3,7,7,9,200,519,1109.04150964467,64,-50.3666310365468,1.85803436145796,0.196146092694178,0.842050426687596,128,72,8.74483678470601,-10.3851699465386,28.2828282828283,-16.25,11355.9283284878,0.0792350079477454
5,7,7,8,267,960,1406.53620718493,60.6741573033708,-64.9850316562211,1.58437266383818,0.174916301758231,0.927731729399225,162,105,8.66491554467256,-9.33989349516345,28.2828282828283,-18.8034188034188,21800.2516256552,0.0776541402951886
