"lookback","minDrop","TP","SL","Trades","Signals","Return","WinRate","MaxDD","AvgPnL","Sharpe","ProfitFactor","Wins","Losses","AvgWin","AvgLoss","MaxWin","MaxLoss","Fees","Score"
6,20,10,18,14,20,406.629365991508,100,-24.2647058823529,12.542446300635,2.65687965429777,NA,14,0,12.542446300635,NA,28.2828282828283,10.15625,501.766529946051,0.0183257455149655
6,20,10,19,14,20,406.629365991508,100,-24.2647058823529,12.542446300635,2.65687965429777,NA,14,0,12.542446300635,NA,28.2828282828283,10.15625,501.766529946051,0.0183257455149655
6,20,10,20,14,20,406.629365991508,100,-24.2647058823529,12.542446300635,2.65687965429777,NA,14,0,12.542446300635,NA,28.2828282828283,10.15625,501.766529946051,0.0183257455149655
5,20,10,18,12,17,309.722406970367,100,-24.2647058823529,12.7372513863129,2.51093740899767,NA,12,0,12.7372513863129,NA,28.2828282828283,10.233918128655,377.071453616544,0.0129229642483239
5,20,10,19,12,17,309.722406970367,100,-24.2647058823529,12.7372513863129,2.51093740899767,NA,12,0,12.7372513863129,NA,28.2828282828283,10.233918128655,377.071453616544,0.0129229642483239
5,20,10,20,12,17,309.722406970367,100,-24.2647058823529,12.7372513863129,2.51093740899767,NA,12,0,12.7372513863129,NA,28.2828282828283,10.233918128655,377.071453616544,0.0129229642483239
6,20,9,18,15,20,416.687024467743,100,-24.2647058823529,11.828872564338,2.4399733219693,NA,15,0,11.828872564338,NA,28.2828282828283,9.20810313075507,544.454813870861,0.019438130814854
6,20,9,19,15,20,416.687024467743,100,-24.2647058823529,11.828872564338,2.4399733219693,NA,15,0,11.828872564338,NA,28.2828282828283,9.20810313075507,544.454813870861,0.019438130814854
6,20,9,20,15,20,416.687024467743,100,-24.2647058823529,11.828872564338,2.4399733219693,NA,15,0,11.828872564338,NA,28.2828282828283,9.20810313075507,544.454813870861,0.019438130814854
5,20,9,18,13,17,323.741557907171,100,-24.2647058823529,12.0173854544106,2.32922129950477,NA,13,0,12.0173854544106,NA,28.2828282828283,9.20810313075507,415.372846157918,0.0140594723698956
5,20,9,19,13,17,323.741557907171,100,-24.2647058823529,12.0173854544106,2.32922129950477,NA,13,0,12.0173854544106,NA,28.2828282828283,9.20810313075507,415.372846157918,0.0140594723698956
5,20,9,20,13,17,323.741557907171,100,-24.2647058823529,12.0173854544106,2.32922129950477,NA,13,0,12.0173854544106,NA,28.2828282828283,9.20810313075507,415.372846157918,0.0140594723698956
3,20,10,18,9,11,203.290938347215,100,-24.2647058823529,13.4124437269466,2.32194560289513,NA,9,0,13.4124437269466,NA,28.2828282828283,10.233918128655,238.733645066182,0.00734578426070371
4,20,10,18,9,14,203.290938347215,100,-24.2647058823529,13.4124437269466,2.32194560289513,NA,9,0,13.4124437269466,NA,28.2828282828283,10.233918128655,238.733645066182,0.00734578426070371
3,20,10,19,9,11,203.290938347215,100,-24.2647058823529,13.4124437269466,2.32194560289513,NA,9,0,13.4124437269466,NA,28.2828282828283,10.233918128655,238.733645066182,0.00734578426070371
4,20,10,19,9,14,203.290938347215,100,-24.2647058823529,13.4124437269466,2.32194560289513,NA,9,0,13.4124437269466,NA,28.2828282828283,10.233918128655,238.733645066182,0.00734578426070371
3,20,10,20,9,11,203.290938347215,100,-24.2647058823529,13.4124437269466,2.32194560289513,NA,9,0,13.4124437269466,NA,28.2828282828283,10.233918128655,238.733645066182,0.00734578426070371
4,20,10,20,9,14,203.290938347215,100,-24.2647058823529,13.4124437269466,2.32194560289513,NA,9,0,13.4124437269466,NA,28.2828282828283,10.233918128655,238.733645066182,0.00734578426070371
7,19,8,20,20,35,570.964728984298,100,-24.822695035461,10.2286886759675,2.29862636773077,NA,20,0,10.2286886759675,NA,28.2828282828283,8.04093567251463,845.979721769629,0.0305289318232931
6,19,8,20,20,29,570.059583689823,100,-24.822695035461,10.22133217431,2.29586531961735,NA,20,0,10.22133217431,NA,28.2828282828283,8.04093567251463,844.848595285794,0.0304805345798515
